first_name,second_name,team,element_type,selected_by_percent,now_cost,minutes,transfers_in,value_season,total_points,position,Player Full Name
Divock,Origi,Liverpool,4,0.6,52,8,24576,0.6,3,Forward,Divock Origi
Harry,Wilson,Liverpool,3,0,51,0,501,0,0,Midfielder,Harry Wilson
Takumi,Minamino,Liverpool,3,0.2,60,283,12802,2.7,16,Midfielder,Takumi Minamino
Trent,Alexander-Arnold,Liverpool,2,13.8,73,1215,629761,6.2,45,Defender,Trent Alexander-Arnold
Joseph,Gomez,Liverpool,2,1.2,52,589,109105,1.9,10,Defender,Joe Gomez
Naby,Keita,Liverpool,3,0.2,52,394,16490,2.3,12,Midfielder,Naby Keïta
Curtis,Jones,Liverpool,3,1.4,44,668,190152,4.5,20,Midfielder,Curtis Jones
Neco,Williams,Liverpool,2,4.4,39,171,379653,2.1,8,Defender,Neco Williams
Harvey,Elliott,Liverpool,3,0.1,43,0,12369,0,0,Midfielder,Harvey Elliott
Diogo,Jota,Liverpool,3,2.7,66,499,2470217,7.1,47,Midfielder,Diogo Jota
Thiago,Alcántara do Nascimento,Liverpool,3,1.2,57,242,348234,0.9,5,Midfielder,Thiago Alcántara
Caoimhin,Kelleher,Liverpool,1,0.1,45,90,30113,1.6,7,Goalkeeper,Caoimhin Kelleher
Nathaniel,Phillips,Liverpool,2,0.7,40,270,131249,2.2,9,Defender,Nathaniel Phillips
Rhys,Williams,Liverpool,2,0.4,40,120,52518,0.8,3,Defender,Rhys Williams
Leighton,Clarkson,Liverpool,3,0,45,0,320,0,0,Midfielder,Leighton Clarkson
Jake,Cain,Liverpool,3,0,45,0,185,0,0,Midfielder,Jake Cain
Fernando,Luiz Rosa,Man City,2,0.7,54,337,52619,2.4,13,Defender,Fernandinho
Claudio,Bravo,Man City,1,0,45,0,448,0,0,Goalkeeper,Claudio Bravo
Sergio,Agüero,Man City,4,1.3,103,140,286437,0.6,6,Forward,Sergio Agüero
Nicolás,Otamendi,Man City,2,0.2,49,0,5375,0,0,Defender,Nicolás Otamendi
Kyle,Walker,Man City,2,6,61,992,941688,9,55,Defender,Kyle Walker
Ilkay,Gündogan,Man City,3,2.8,55,824,269296,8.7,48,Midfielder,İlkay Gündoğan
Kevin,De Bruyne,Man City,3,29.2,118,1277,3880256,7.4,87,Midfielder,Kevin De Bruyne
John,Stones,Man City,2,9,50,720,777813,8.8,44,Defender,John Stones
Benjamin,Mendy,Man City,2,1.5,59,504,164078,4.1,24,Defender,Benjamin Mendy
Riyad,Mahrez,Man City,3,3.6,81,834,1479167,7,57,Midfielder,Riyad Mahrez
Raheem,Sterling,Man City,3,4.3,114,1187,1001338,6.6,75,Midfielder,Raheem Sterling
João Pedro Cavaco,Cancelo,Man City,2,12.4,58,1080,1224435,10.5,61,Defender,João Cancelo
Ederson,Santana de Moraes,Man City,1,6.5,60,1350,428618,10.5,63,Goalkeeper,Ederson
Nathan,Aké,Man City,2,3,54,469,261624,3.9,21,Defender,Nathan Aké
Aymeric,Laporte,Man City,2,2.2,60,360,140782,2,12,Defender,Aymeric Laporte
Bernardo Mota,Veiga de Carvalho e Silva,Man City,3,0.7,74,732,69589,3,22,Midfielder,Bernardo Silva
Gabriel Fernando,de Jesus,Man City,4,1.3,91,653,392593,3.2,29,Forward,Gabriel Jesus
Oleksandr,Zinchenko,Man City,2,0.3,55,192,12816,2,11,Defender,Oleksandr Zinchenko
Phil,Foden,Man City,3,8.9,63,668,1405588,9.4,59,Midfielder,Phil Foden
Tommy,Doyle,Man City,3,0.1,44,0,6557,0,0,Midfielder,Tommy Doyle
Rodrigo,Hernandez,Man City,3,0.4,54,1361,39908,6.1,33,Midfielder,Rodri
Ferran,Torres,Man City,3,1.1,69,566,244919,4.8,33,Midfielder,Ferrán Torres
Eric,Garcia,Man City,2,0.2,47,200,9937,0.6,3,Defender,Eric Garcia
Adrián,Bernabé,Man City,3,0,45,0,1176,0,0,Midfielder,Adrián Bernabé
Zack,Steffen,Man City,1,0.1,44,90,22621,0.5,2,Goalkeeper,Zack Steffen
Liam,Delap,Man City,4,1.1,44,39,219435,0.2,1,Forward,Liam Delap
Cole,Palmer,Man City,3,0,44,0,1299,0,0,Midfielder,Cole Palmer
Rúben Santos,Gato Alves Dias,Man City,2,10.4,58,1239,999604,10.2,59,Defender,Rúben Dias
James,Trafford,Man City,1,0.1,40,0,11286,0,0,Goalkeeper,James Trafford
Scott,Carson,Man City,1,0,40,0,3068,0,0,Goalkeeper,Scott Carson
Felix,Nmecha,Man City,3,0,45,0,134,0,0,Midfielder,Felix Nmecha
Luke,Mbete,Man City,2,0,40,0,256,0,0,Defender,Luke Mbete
Taylor,Harwood-Bellis,Man City,2,0,40,0,226,0,0,Defender,Taylor Harwood-Bellis
Sergio,Romero,Man Utd,1,0.1,49,0,502,0,0,Goalkeeper,Sergio Romero
Juan,Mata,Man Utd,3,0.1,58,334,10523,3.3,19,Midfielder,Juan Mata
David,de Gea,Man Utd,1,4.6,53,1305,274110,9.1,48,Goalkeeper,David de Gea
Chris,Smalling,Man Utd,2,0.1,49,0,1908,0,0,Defender,Chris Smalling
Odion,Ighalo,Man Utd,4,0.2,61,9,7380,0.2,1,Forward,Odion Ighalo
Marcos,Rojo,Man Utd,2,0,48,0,958,0,0,Defender,Marcos Rojo
Nemanja,Matic,Man Utd,3,0.2,48,639,15028,4.2,20,Midfielder,Nemanja Matić
Paul,Pogba,Man Utd,3,1.7,77,947,157088,6.2,48,Midfielder,Paul Pogba
Phil,Jones,Man Utd,2,0,48,0,535,0,0,Defender,Phil Jones
Harry,Maguire,Man Utd,2,4.3,54,1530,338293,9.6,52,Defender,Harry Maguire
Frederico,Rodrigues de Paula Santos,Man Utd,3,0.2,53,912,19377,4.3,23,Midfielder,Fred
Luke,Shaw,Man Utd,2,1.6,48,1070,187767,7.5,36,Defender,Luke Shaw
Jesse,Lingard,Man Utd,3,0.1,59,0,5794,0,0,Midfielder,Jesse Lingard
Bruno Miguel,Borges Fernandes,Man Utd,3,52.9,113,1387,4377772,11.7,132,Midfielder,Bruno Fernandes
Anthony,Martial,Man Utd,4,6.2,88,913,926636,5.1,45,Forward,Anthony Martial
Andreas,Pereira,Man Utd,3,0,48,0,965,0,0,Midfielder,Andreas Pereira
Dean,Henderson,Man Utd,1,1.4,52,225,15672,1,5,Goalkeeper,Dean Henderson
Marcus,Rashford,Man Utd,3,12.6,96,1442,1730819,9.4,90,Midfielder,Marcus Rashford
Axel,Tuanzebe,Man Utd,2,0.1,42,49,17819,0.5,2,Defender,Axel Tuanzebe
Victor,Lindelöf,Man Utd,2,1.3,48,1145,139953,9,43,Defender,Victor Lindelöf
Scott,McTominay,Man Utd,3,1.3,49,920,147768,8.8,43,Midfielder,Scott McTominay
Eric,Bailly,Man Utd,2,0.6,49,458,56964,3.5,17,Defender,Eric Bailly
Daniel,James,Man Utd,3,0.2,62,323,11955,1.8,11,Midfielder,Daniel James
Timothy,Fosu-Mensah,Man Utd,2,0.1,43,80,5027,0,0,Defender,Timothy Fosu-Mensah
Aaron,Wan-Bissaka,Man Utd,2,9.6,54,1350,716695,10.2,55,Defender,Aaron Wan-Bissaka
José Diogo,Dalot Teixeira,Man Utd,2,0,48,0,463,0,0,Defender,José Diogo Dalot Teixeira
Mason,Greenwood,Man Utd,3,2,71,628,312795,3.4,24,Midfielder,Mason Greenwood
Tahith,Chong,Man Utd,3,0,44,0,796,0,0,Midfielder,Tahith Chong
James,Garner,Man Utd,3,0,44,0,2396,0,0,Midfielder,James Garner
Brandon,Williams,Man Utd,2,0.6,42,6,23824,0.2,1,Defender,Brandon Williams
Teden,Mengi,Man Utd,2,0.9,39,0,70274,0,0,Defender,Teden Mengi
Donny,van de Beek,Man Utd,3,1.5,66,250,165049,2.4,16,Midfielder,Donny van de Beek
Alex Nicolao,Telles,Man Utd,2,1,55,428,254994,2.7,15,Defender,Alex Telles
Edinson,Cavani,Man Utd,4,2.4,78,386,508846,4.1,32,Forward,Edinson Cavani
Facundo,Pellistri,Man Utd,3,0,52,0,1062,0,0,Midfielder,Facundo Pellistri
Lee,Grant,Man Utd,1,0.1,40,0,6624,0,0,Goalkeeper,Lee Grant
Andy,Carroll,Newcastle,4,0.4,52,221,64307,4,21,Forward,Andy Carroll
Jonjo,Shelvey,Newcastle,3,0.1,53,726,8993,3.2,17,Midfielder,Jonjo Shelvey
Matt,Ritchie,Newcastle,3,0.1,49,526,4007,2.4,12,Midfielder,Matt Ritchie
Federico,Fernández,Newcastle,2,1,47,1381,95902,7.2,34,Defender,Federico Fernández
Ciaran,Clark,Newcastle,2,0.4,45,810,51695,5.6,25,Defender,Ciaran Clark
Karl,Darlow,Newcastle,1,2.4,50,1530,322427,12.6,63,Goalkeeper,Karl Darlow
Martin,Dubravka,Newcastle,1,0.2,48,0,7016,0,0,Goalkeeper,Martin Dubravka
Florian,Lejeune,Newcastle,2,0,43,0,370,0,0,Defender,Florian Lejeune
Jamaal,Lascelles,Newcastle,2,0.9,42,672,83509,3.3,14,Defender,Jamaal Lascelles
Dwight,Gayle,Newcastle,4,0,59,60,4942,1.9,11,Forward,Dwight Gayle
Christian,Atsu,Newcastle,3,0,52,0,924,0,0,Midfielder,Christian Atsu
Paul,Dummett,Newcastle,2,0,44,151,955,0.9,4,Defender,Paul Dummett
Javier,Manquillo,Newcastle,2,0.2,43,459,19541,3.7,16,Defender,Javier Manquillo
Emil,Krafth,Newcastle,2,0.1,43,287,2539,1.4,6,Defender,Emil Krafth
Fabian,Schär,Newcastle,2,0.1,49,771,13433,3.3,16,Defender,Fabian Schär
DeAndre,Yedlin,Newcastle,2,0.4,43,435,32487,3,13,Defender,DeAndre Yedlin
Isaac,Hayden,Newcastle,3,0.1,47,1000,4527,4,19,Midfielder,Isaac Hayden
Rolando,Aarons,Newcastle,3,0,48,0,1550,0,0,Midfielder,Rolando Aarons
Allan,Saint-Maximin,Newcastle,3,2.5,51,582,306259,5.5,28,Midfielder,Allan Saint-Maximin
Miguel,Almirón,Newcastle,3,0.4,56,839,41520,6.2,35,Midfielder,Miguel Almirón
Joelinton Cássio,Apolinário de Lira,Newcastle,4,0.6,57,948,86685,6.3,36,Forward,Joelinton
Yoshinori,Muto,Newcastle,4,0.1,48,0,5727,0,0,Forward,Yoshinori Muto
Kelland,Watts,Newcastle,2,0.2,39,0,8060,0,0,Defender,Kelland Watts
Sean,Longstaff,Newcastle,3,0.1,47,824,7730,4.5,21,Midfielder,Sean Longstaff
Jeff,Hendrick,Newcastle,3,1.9,46,911,526775,8.7,40,Midfielder,Jeff Hendrick
Matthew,Longstaff,Newcastle,3,0,49,299,1192,1.6,8,Midfielder,Matthew Longstaff
Mark,Gillespie,Newcastle,1,0.1,44,0,2270,0,0,Goalkeeper,Mark Gillespie
Jacob,Murphy,Newcastle,3,0.1,49,652,7887,5.5,27,Midfielder,Jacob Murphy
Callum,Wilson,Newcastle,4,19.9,66,1327,3067164,13.3,88,Forward,Callum Wilson
Ryan,Fraser,Newcastle,3,0.2,56,315,15590,3,17,Midfielder,Ryan Fraser
Jamal,Lewis,Newcastle,2,1.6,43,1017,370372,5.3,23,Defender,Jamal Lewis
Elliot,Anderson,Newcastle,3,0,45,0,2089,0,0,Midfielder,Elliot Anderson
Daniel,Langley,Newcastle,1,0.1,40,0,7573,0,0,Goalkeeper,Daniel Langley
Rhian,Brewster,Sheffield Utd,4,7.9,45,633,1066093,4,18,Forward,Rhian Brewster
Billy,Sharp,Sheffield Utd,4,0.1,55,219,10246,3.1,17,Forward,Billy Sharp
David,McGoldrick,Sheffield Utd,4,2,52,1011,254311,9.4,49,Forward,David McGoldrick
Chris,Basham,Sheffield Utd,2,0.7,46,1476,34663,5.9,27,Defender,Chris Basham
John,Fleck,Sheffield Utd,3,0.1,56,874,9226,4.3,24,Midfielder,John Fleck
Enda,Stevens,Sheffield Utd,2,1,50,1260,19984,3.4,17,Defender,Enda Stevens
Simon,Moore,Sheffield Utd,1,0.1,43,0,1757,0,0,Goalkeeper,Simon Moore
Oliver,Norwood,Sheffield Utd,3,0.1,46,651,10126,3.7,17,Midfielder,Oliver Norwood
Wes,Foderingham,Sheffield Utd,1,0.1,43,0,2016,0,0,Goalkeeper,Wes Foderingham
George,Baldock,Sheffield Utd,2,1,50,1440,46379,5,25,Defender,George Baldock
Jack,Robinson,Sheffield Utd,2,0.1,43,605,9791,3,13,Defender,Jack Robinson
John,Egan,Sheffield Utd,2,2.1,47,1451,36380,4.7,22,Defender,John Egan
Jack,O'Connell,Sheffield Utd,2,0.1,47,180,3826,0.6,3,Defender,Jack O'Connell
John,Lundstram,Sheffield Utd,3,1.5,49,855,41453,3.9,19,Midfielder,John Lundstram
Ben,Osborn,Sheffield Utd,3,0,48,765,1448,4,19,Midfielder,Ben Osborn
Oliver,McBurnie,Sheffield Utd,4,0.2,56,821,16357,5,28,Forward,Oliver McBurnie
Lys,Mousset,Sheffield Utd,4,0.1,58,199,4026,1.4,8,Forward,Lys Mousset
Sander,Berge,Sheffield Utd,3,0.1,49,1015,22596,5.9,29,Midfielder,Sander Berge
Oliver,Burke,Sheffield Utd,3,2.1,43,667,297274,4.2,18,Midfielder,Oliver Burke
Luke,Freeman,Sheffield Utd,3,0,50,0,672,0,0,Midfielder,Luke Freeman
Aaron,Ramsdale,Sheffield Utd,1,2,47,1620,85906,9.8,46,Goalkeeper,Aaron Ramsdale
Ethan,Ampadu,Sheffield Utd,2,0.5,43,970,33925,6,26,Defender,Ethan Ampadu
Jayden,Bogle,Sheffield Utd,2,0.1,43,216,5586,3,13,Defender,Jayden Bogle
Max,Lowe,Sheffield Utd,2,0.1,43,413,2339,1.6,7,Defender,Max Lowe
Phil,Jagielka,Sheffield Utd,2,0.5,39,142,58496,0.3,1,Defender,Phil Jagielka
Michael,Verrips,Sheffield Utd,1,0.4,40,0,36632,0,0,Goalkeeper,Michael Verrips
Kean,Bryan,Sheffield Utd,2,0.2,39,152,34665,0.8,3,Defender,Kean Bryan
Antwoine,Hackford,Sheffield Utd,4,0,45,10,3701,0.2,1,Forward,Antwoine Hackford
Theo,Walcott,Southampton,3,0.9,58,1019,156990,8.8,51,Midfielder,Theo Walcott
Shane,Long,Southampton,4,0.6,51,183,50243,2.2,11,Forward,Shane Long
Ryan,Bertrand,Southampton,2,1.1,50,1428,92652,10.8,54,Defender,Ryan Bertrand
Alex,McCarthy,Southampton,1,19.6,47,1440,1142589,15.1,71,Goalkeeper,Alex McCarthy
Oriol,Romeu Vidal,Southampton,3,3.5,45,1305,490076,9.3,42,Midfielder,Oriol Romeu
Nathan,Redmond,Southampton,3,0.2,64,396,21970,2.8,18,Midfielder,Nathan Redmond
Danny,Ings,Southampton,4,6.7,83,1055,1200476,8.8,73,Forward,Danny Ings
Jack,Stephens,Southampton,2,0.3,46,585,15655,6.7,31,Defender,Jack Stephens
Stuart,Armstrong,Southampton,3,0.5,55,1124,92628,9.5,52,Midfielder,Stuart Armstrong
Jannik,Vestergaard,Southampton,2,4.2,48,1125,1396128,13.1,63,Defender,Jannik Vestergaard
James,Ward-Prowse,Southampton,3,11.8,62,1530,1935488,12.7,79,Midfielder,James Ward-Prowse
Angus,Gunn,Southampton,1,0.1,43,0,2876,0,0,Goalkeeper,Angus Gunn
Sofiane,Boufal,Southampton,3,0,54,0,624,0,0,Midfielder,Sofiane Boufal
Josh,Sims,Southampton,3,0.1,43,0,10606,0,0,Midfielder,Josh Sims
Kyle,Walker-Peters,Southampton,2,13.5,48,1530,1070151,14.4,69,Defender,Kyle Walker-Peters
Jan,Bednarek,Southampton,2,12.7,49,1440,1155410,16.1,79,Defender,Jan Bednarek
Che,Adams,Southampton,4,6.3,60,1346,1116528,11.7,70,Forward,Che Adams
Yan,Valery,Southampton,2,0.1,47,8,1750,0.2,1,Defender,Yan Valery
William,Smallbone,Southampton,3,0.2,44,111,24200,0.7,3,Midfielder,William Smallbone
Jake,Vokins,Southampton,2,1.3,39,0,63814,0,0,Defender,Jake Vokins
Michael,Obafemi,Southampton,4,0.9,46,13,61842,0.2,1,Forward,Michael Obafemi
Moussa,Djenepo,Southampton,3,0.1,54,694,17352,5.6,30,Midfielder,Moussa Djenepo
Mohammed,Salisu,Southampton,2,0.1,43,0,1436,0,0,Defender,Mohammed Salisu
Fraser,Forster,Southampton,1,5.7,40,90,475854,1.5,6,Goalkeeper,Fraser Forster
Nathan,Tella,Southampton,3,0.4,44,155,52480,1.1,5,Midfielder,Nathan Tella
Ibrahima,Diallo,Southampton,3,0,45,204,4249,2.4,11,Midfielder,Ibrahima Diallo
Daniel,N'Lundulu,Southampton,4,0.2,45,30,27979,1.3,6,Forward,Daniel N'Lundulu
Kayne,Ramsay,Southampton,2,0.1,40,0,5626,0,0,Defender,Kayne Ramsay
Kgaogelo,Chauke,Southampton,3,0,45,0,61,0,0,Midfielder,Kgaogelo Chauke
Harry,Lewis,Southampton,1,0,40,0,1193,0,0,Goalkeeper,Harry Lewis
Hugo,Lloris,Spurs,1,7.7,56,1530,574830,13.6,76,Goalkeeper,Hugo Lloris
Danny,Rose,Spurs,2,0.1,47,0,3530,0,0,Defender,Danny Rose
Moussa,Sissoko,Spurs,3,0.5,48,1146,42558,6.7,32,Midfielder,Moussa Sissoko
Toby,Alderweireld,Spurs,2,2,54,980,139695,8.7,47,Defender,Toby Alderweireld
Erik,Lamela,Spurs,3,0.1,57,208,10363,1.8,10,Midfielder,Érik Lamela
Harry,Kane,Spurs,4,42.9,111,1519,3907611,12,133,Forward,Harry Kane
Serge,Aurier,Spurs,2,1.9,52,783,242072,7.3,38,Defender,Serge Aurier
Heung-Min,Son,Spurs,3,58.9,98,1436,5858884,13.7,134,Midfielder,Son Heung-min
Eric,Dier,Spurs,2,5.6,51,1440,608971,10.4,53,Defender,Eric Dier
Lucas,Rodrigues Moura da Silva,Spurs,3,1.1,67,456,80472,3.4,23,Midfielder,Lucas Moura
Paulo,Gazzaniga,Spurs,1,0.2,43,0,4720,0,0,Goalkeeper,Paulo Gazzaniga
Bamidele,Alli,Spurs,3,0.5,74,74,21127,0.5,4,Midfielder,Dele Alli
Ben,Davies,Spurs,2,0.9,46,677,95347,7,32,Defender,Ben Davies
Pierre-Emile,Højbjerg,Spurs,3,0.9,49,1530,105785,8,39,Midfielder,Pierre Højbjerg
Harry,Winks,Spurs,3,0.1,52,521,4601,1.9,10,Midfielder,Harry Winks
Davinson,Sánchez,Spurs,2,0.7,52,540,28530,1.5,8,Defender,Davinson Sánchez
Ryan,Sessegnon,Spurs,2,0.1,47,0,1044,0,0,Defender,Ryan Sessegnon
Steven,Bergwijn,Spurs,3,0.4,70,678,25896,3.6,25,Midfielder,Steven Bergwijn
Gedson,Carvalho Fernandes,Spurs,3,0.1,47,0,2932,0,0,Midfielder,Gedson Carvalho Fernandes
Japhet,Tanganga,Spurs,2,0,49,0,1243,0,0,Defender,Japhet Tanganga
Giovani,Lo Celso,Spurs,3,0.4,69,433,13282,2.9,20,Midfielder,Giovani Lo Celso
Oliver,Skipp,Spurs,3,0,44,0,1836,0,0,Midfielder,Oliver Skipp
Tanguy,Ndombele,Spurs,3,0.5,59,881,63685,8.1,48,Midfielder,Tanguy Ndombele
Juan,Foyth,Spurs,2,0.1,43,0,1527,0,0,Defender,Juan Foyth
Matt,Doherty,Spurs,2,4.7,57,705,205334,5.1,29,Defender,Matt Doherty
Joe,Hart,Spurs,1,0.6,43,0,11021,0,0,Goalkeeper,Joe Hart
Cameron,Carter-Vickers,Spurs,2,0.2,39,0,18682,0,0,Defender,Cameron Carter-Vickers
Sergio,Reguilón,Spurs,2,6,57,969,828508,8.9,51,Defender,Sergio Reguilón
Gareth,Bale,Spurs,3,0.3,93,160,158011,1.5,14,Midfielder,Gareth Bale
Carlos Vinicius,Alves Morais,Spurs,4,0.1,69,24,7591,0.4,3,Forward,Carlos Vinícius
Joe,Rodon,Spurs,2,0,50,101,3059,1.8,9,Defender,Joe Rodon
David,Button,West Brom,1,4.1,40,0,170748,0,0,Goalkeeper,David Button
Callum,Robinson,West Brom,4,0.6,54,841,152456,6.9,37,Forward,Callum Robinson
Kieran,Gibbs,West Brom,2,0.2,43,450,8934,0.5,2,Defender,Kieran Gibbs
Hal,Robson-Kanu,West Brom,4,0.1,52,137,8048,1,5,Forward,Hal Robson-Kanu
Jake,Livermore,West Brom,3,0.1,47,771,4809,2.6,12,Midfielder,Jake Livermore
Kamil,Grosicki,West Brom,3,0,53,10,668,0.2,1,Midfielder,Kamil Grosicki
Matt,Phillips,West Brom,3,0.1,51,641,4118,4.5,23,Midfielder,Matt Phillips
Kyle,Bartley,West Brom,2,0.1,44,744,15030,4.3,19,Defender,Kyle Bartley
Romaine,Sawyers,West Brom,3,0,48,1139,2304,5.2,25,Midfielder,Romaine Sawyers
Ahmed El-Sayed,Hegazy,West Brom,2,0.1,41,90,13002,1.5,6,Defender,Ahmed Hegazi
Charlie,Austin,West Brom,4,0.2,51,135,16168,1,5,Forward,Charlie Austin
Kenneth,Zohore,West Brom,4,0,48,0,2972,0,0,Forward,Kenneth Zohore
Sam,Johnstone,West Brom,1,2.8,45,1530,296044,12,54,Goalkeeper,Sam Johnstone
Conor,Townsend,West Brom,2,0.1,44,704,12158,5.5,24,Defender,Conor Townsend
Oluwasemilogo Adesewo Ibidapo,Ajayi,West Brom,2,0.2,48,1440,18711,6.5,31,Defender,Semi Ajayi
Jonathan,Leko,West Brom,3,0,45,0,1430,0,0,Midfielder,Jonathan Leko
Kyle,Edwards,West Brom,3,0,47,114,844,1.1,5,Midfielder,Kyle Edwards
Darnell,Furlong,West Brom,2,0.3,45,1418,43763,8.4,38,Defender,Darnell Furlong
Sam,Field,West Brom,3,0,48,61,756,0.6,3,Midfielder,Sam Field
Dara,O'Shea,West Brom,2,0.2,43,1000,9737,2.6,11,Defender,Dara O'Shea
Rekeem,Harper,West Brom,3,0.6,43,30,62324,0.5,2,Midfielder,Rekeem Harper
Robert,Snodgrass,West Brom,3,0.1,57,4,2289,0.5,3,Midfielder,Robert Snodgrass
Grady,Diangana,West Brom,3,0.2,51,1068,44700,6.5,33,Midfielder,Grady Diangana
Matheus,Pereira,West Brom,3,0.6,56,921,217896,6.1,34,Midfielder,Matheus Pereira
Cedric,Kipre,West Brom,2,0,43,0,1016,0,0,Defender,Cedric Kipre
Branislav,Ivanovic,West Brom,2,0.1,45,741,18543,4,18,Defender,Branislav Ivanović
Conor,Gallagher,West Brom,3,0.1,55,1159,17260,6.5,36,Midfielder,Conor Gallagher
Filip,Krovinovic,West Brom,3,0,49,541,1511,3.5,17,Midfielder,Filip Krovinović
Karlan,Grant,West Brom,4,0,58,857,11646,5,29,Forward,Karlan Grant
Lee,Peltier,West Brom,2,0.1,40,93,7393,0,0,Defender,Lee Peltier
Cheikh,Diaby,West Brom,4,0,45,0,3291,0,0,Forward,Cheikh Diaby
Mark,Noble,West Ham,3,0.4,46,223,12206,2,9,Midfielder,Mark Noble
David,Martin,West Ham,1,6.9,40,0,236408,0,0,Goalkeeper,David Martin
Darren,Randolph,West Ham,1,0.3,44,90,16580,1.4,6,Goalkeeper,Darren Randolph
Lukasz,Fabianski,West Ham,1,4.1,51,1440,435777,13.9,71,Goalkeeper,Łukasz Fabiański
Angelo,Ogbonna,West Ham,2,3.3,50,1502,313308,13.2,66,Defender,Angelo Ogbonna
Roberto,Jimenez Gago,West Ham,1,0,45,0,407,0,0,Goalkeeper,Roberto Jimenez Gago
Jack,Wilshere,West Ham,3,0,49,0,1183,0,0,Midfielder,Jack Wilshere
Aaron,Cresswell,West Ham,2,16.6,54,1530,1660282,14.3,77,Defender,Aaron Cresswell
Andriy,Yarmolenko,West Ham,3,0.1,55,240,4098,1.6,9,Midfielder,Andriy Yarmolenko
Michail,Antonio,West Ham,4,6.5,62,570,539945,4.8,30,Forward,Michail Antonio
Ryan,Fredericks,West Ham,2,0.2,42,319,17383,2.6,11,Defender,Ryan Fredericks
Manuel,Lanzini,West Ham,3,0.1,64,227,11618,2.5,16,Midfielder,Manuel Lanzini
Felipe Anderson,Pereira Gomes,West Ham,3,0.1,61,2,4674,0.3,2,Midfielder,Felipe Anderson
Sébastien,Haller,West Ham,4,0.3,61,932,60503,6.7,41,Forward,Sébastien Haller
Arthur,Masuaku,West Ham,2,0.6,44,850,220675,8.4,37,Defender,Arthur Masuaku
Fabián,Balbuena,West Ham,2,1.7,44,1080,294999,9.1,40,Defender,Fabián Balbuena
Jordan,Hugill,West Ham,4,0,55,0,426,0,0,Forward,Jordan Hugill
Jarrod,Bowen,West Ham,3,3.4,63,1291,657578,10.8,68,Midfielder,Jarrod Bowen
Albian,Ajeti,West Ham,4,0,55,0,653,0,0,Forward,Albian Ajeti
Declan,Rice,West Ham,3,2.6,48,1530,169333,8.8,42,Midfielder,Declan Rice
Tomas,Soucek,West Ham,3,17.7,53,1530,1568144,14.5,77,Midfielder,Tomáš Souček
Pablo,Fornals,West Ham,3,0.9,61,1262,265886,10.2,62,Midfielder,Pablo Fornals
Issa,Diop,West Ham,2,0.5,43,297,14428,0.9,4,Defender,Issa Diop
Ben,Johnson,West Ham,2,3.3,39,141,257574,2.6,10,Defender,Ben Johnson
Vladimir,Coufal,West Ham,2,6.5,47,1164,637380,11.1,52,Defender,Vladimír Coufal
Craig,Dawson,West Ham,2,0.2,45,180,17123,2.7,12,Defender,Craig Dawson
Saïd,Benrahma,West Ham,3,0.2,60,392,50179,3.2,19,Midfielder,Saïd Benrahma
John,Ruddy,Wolves,1,0.2,43,0,4433,0,0,Goalkeeper,John Ruddy
João Filipe Iria,Santos Moutinho,Wolves,3,0.9,52,1153,40115,5,26,Midfielder,João Moutinho
Rui Pedro,dos Santos Patrício,Wolves,1,5.2,54,1620,357420,10.2,55,Goalkeeper,Rui Patrício
Ryan,Bennett,Wolves,2,0.1,44,0,3902,0,0,Defender,Ryan Bennett
Willy,Boly,Wolves,2,1.4,54,1080,138560,6.7,36,Defender,Willy Boly
Conor,Coady,Wolves,2,5.5,49,1530,385628,8.4,41,Defender,Conor Coady
Raúl,Jiménez,Wolves,4,5.1,82,824,1157844,5.2,43,Forward,Raúl Jiménez
Romain,Saïss,Wolves,2,10.1,51,1147,2147774,12.4,63,Defender,Romain Saïss
Jonathan,Castro Otto,Wolves,2,0,54,0,764,0,0,Defender,Jonathan Castro Otto
Léo,Bonatini,Wolves,4,0.1,48,0,8694,0,0,Forward,Léo Bonatini
Leander,Dendoncker,Wolves,3,0.6,47,1036,59790,7,33,Midfielder,Leander Dendoncker
Adama,Traoré,Wolves,3,5.4,61,1029,297350,4.6,28,Midfielder,Adama Traoré
Rúben Diogo,da Silva Neves,Wolves,3,1.4,52,1239,77090,8.7,45,Midfielder,Rúben Neves
Oskar,Buur,Wolves,2,2.4,39,22,248365,0.3,1,Defender,Oskar Buur
Daniel,Castelo Podence,Wolves,3,2.5,54,1117,1013367,10.6,57,Midfielder,Daniel Podence
Max,Kilman,Wolves,2,9,41,758,1423999,9,37,Defender,Max Kilman
Rúben Gonçalo,Silva Nascimento Vinagre,Wolves,2,0.8,41,172,56796,0.2,1,Defender,Rúben Vinagre
Matija,Sarkic,Wolves,1,0.1,44,0,974,0,0,Goalkeeper,Matija Sarkic
Morgan,Gibbs-White,Wolves,3,0,49,63,511,0.4,2,Midfielder,Morgan Gibbs-White
Pedro,Lomba Neto,Wolves,3,14.1,60,1441,1773944,13.7,82,Midfielder,Pedro Neto
Bruno André,Cavaco Jordao,Wolves,3,0.2,43,0,16475,0,0,Midfielder,Bruno André Cavaco Jordao
Leonardo,Campana,Wolves,4,0.3,48,0,22243,0,0,Forward,Leonardo Campana
Fabio,Silva,Wolves,4,1.4,52,598,151557,4.4,23,Forward,Fábio Silva
