Rk,Player,PlayerID,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK,G+A-PK,xG,npxG,xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA,Season
249,Tariq Lamptey,Tariq-Lamptey,ENG,DF,Chelsea,18,2000,1,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.32,0.32,0,0.32,2019/2020
250,Tariq Lamptey,Tariq-Lamptey,ENG,DF,Brighton,18,2000,8,7,588,0,1,0,0,2,0,0,0.15,0.15,0,0.15,0.1,0.1,0.6,0.01,0.1,0.11,0.01,0.11,2019/2020
251,Henri Lansbury,Henri-Lansbury,ENG,MF,Aston Villa,28,1990,10,2,195,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.05,0.03,0.08,0.05,0.08,2019/2020
252,Manuel Lanzini,Manuel-Lanzini,ARG,MFFW,West Ham,26,1993,24,14,1379,0,2,0,0,1,0,0,0.13,0.13,0,0.13,2,2,2.5,0.13,0.16,0.29,0.13,0.29,2019/2020
253,Aymeric Laporte,Aymeric-Laporte,FRA,DF,Manchester City,25,1994,15,14,1097,1,0,0,0,1,0,0.08,0,0.08,0.08,0.08,0.3,0.3,0.1,0.03,0.01,0.03,0.03,0.03,2019/2020
254,Jamaal Lascelles,Jamaal-Lascelles,ENG,DF,Newcastle Utd,25,1993,24,24,2076,1,0,0,0,5,0,0.04,0,0.04,0.04,0.04,0.3,0.3,0.1,0.01,0.01,0.02,0.01,0.02,2019/2020
255,Valentino Lazaro,Valentino-Lazaro,AUT,DFMF,Newcastle Utd,23,1996,13,4,480,1,0,0,0,0,1,0.19,0,0.19,0.19,0.19,0.5,0.5,0.2,0.1,0.04,0.14,0.1,0.14,2019/2020
256,Moritz Leitner,Moritz-Leitner,GER,MF,Norwich City,26,1992,9,7,685,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.3,0.03,0.04,0.07,0.03,0.07,2019/2020
257,Florian Lejeune,Florian-Lejeune,FRA,DF,Newcastle Utd,28,1991,6,4,442,2,0,0,0,0,0,0.41,0,0.41,0.41,0.41,0.6,0.6,0.1,0.12,0.01,0.13,0.12,0.13,2019/2020
258,Aaron Lennon,Aaron-Lennon,ENG,MF,Burnley,32,1987,16,4,496,0,0,0,0,4,0,0,0,0,0,0,0,0,0.1,0,0.02,0.02,0,0.02,2019/2020
259,Bernd Leno,Bernd-Leno,GER,GK,Arsenal,27,1992,30,30,2649,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
260,Jefferson Lerma,Jefferson-Lerma,COL,MF,Bournemouth,24,1994,33,31,2703,1,2,0,0,13,1,0.03,0.07,0.1,0.03,0.1,1.2,1.2,1.8,0.04,0.06,0.1,0.04,0.1,2019/2020
261,Jamal Lewis,Jamal-Lewis,NIR,DF,Norwich City,21,1998,28,25,2304,1,0,0,0,4,0,0.04,0,0.04,0.04,0.04,0.4,0.4,1,0.01,0.04,0.05,0.01,0.05,2019/2020
262,Victor Lindelöf,Victor-Lindelof,SWE,DF,Manchester Utd,25,1994,35,35,3092,1,0,0,0,6,0,0.03,0,0.03,0.03,0.03,0.4,0.4,0.3,0.01,0.01,0.02,0.01,0.02,2019/2020
