Rk,Player,PlayerID,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK,G+A-PK,xG,npxG,xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA,Season
337,Tanguy Ndombele,Tanguy-Ndombele,FRA,MF,Tottenham,22,1996,21,12,1009,2,2,0,0,3,0,0.18,0.18,0.36,0.18,0.36,0.4,0.4,1.2,0.04,0.11,0.15,0.04,0.15,2019/2020
338,Reiss Nelson,Reiss-Nelson,ENG,FW,Arsenal,19,1999,17,7,631,1,0,0,0,1,0,0.14,0,0.14,0.14,0.14,0.9,0.9,0.7,0.13,0.09,0.22,0.13,0.22,2019/2020
339,Pedro Neto,Pedro-Neto,POR,FWMF,Wolves,19,2000,29,9,939,3,3,0,0,3,0,0.29,0.29,0.58,0.29,0.58,2,2,2.3,0.19,0.22,0.42,0.19,0.42,2019/2020
340,Rúben Neves,Ruben-Neves,POR,MF,Wolves,22,1997,38,35,3056,2,2,0,0,9,0,0.06,0.06,0.12,0.06,0.12,1.6,1.6,2,0.05,0.06,0.11,0.05,0.11,2019/2020
341,Jeremy Ngakia,Jeremy-Ngakia,ENG,DF,West Ham,18,2000,5,5,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,2019/2020
342,Oumar Niasse,Oumar-Niasse,SEN,FW,Everton,29,1990,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
343,Eddie Nketiah,Eddie-Nketiah,ENG,FW,Arsenal,20,1999,13,7,633,2,0,0,0,0,1,0.28,0,0.28,0.28,0.28,3.1,3.1,0.6,0.45,0.09,0.54,0.45,0.54,2019/2020
344,Mark Noble,Mark-Noble,ENG,MF,West Ham,32,1987,33,32,2674,4,3,3,3,5,0,0.13,0.1,0.24,0.03,0.13,2.8,0.5,2.9,0.09,0.1,0.19,0.02,0.12,2019/2020
345,Oliver Norwood,Oliver-Norwood,NIR,MF,Sheffield Utd,28,1991,38,37,3090,1,1,1,1,8,0,0.03,0.03,0.06,0,0.03,1.4,0.7,4.2,0.04,0.12,0.16,0.02,0.14,2019/2020
346,Ørjan Nyland,Orjan-Nyland,NOR,GK,Aston Villa,28,1990,7,5,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
347,Jack O'Connell,Jack-OConnell,ENG,DF,Sheffield Utd,25,1994,33,32,2916,0,1,0,0,4,0,0,0.03,0.03,0,0.03,1.2,1.2,2.1,0.04,0.06,0.1,0.04,0.1,2019/2020
348,Michael Obafemi,Michael-Obafemi,IRL,FW,Southampton,19,2000,21,8,665,3,2,0,0,1,0,0.41,0.27,0.68,0.41,0.68,1.9,1.9,1.2,0.26,0.17,0.43,0.26,0.43,2019/2020
349,Angelo Ogbonna,Angelo-Ogbonna,ITA,DF,West Ham,31,1988,31,31,2786,2,0,0,0,4,0,0.06,0,0.06,0.06,0.06,1.4,1.4,0.1,0.05,0,0.05,0.05,0.05,2019/2020
350,Divock Origi,Divock-Origi,BEL,FW,Liverpool,24,1995,28,7,717,4,1,0,0,1,0,0.5,0.13,0.63,0.5,0.63,2.2,2.2,0.2,0.28,0.03,0.3,0.28,0.3,2019/2020
351,Ben Osborn,Ben-Osborn,ENG,MFDF,Sheffield Utd,24,1994,13,6,594,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.8,0.05,0.13,0.18,0.05,0.18,2019/2020
352,Nicolás Otamendi,Nicolas-Otamendi,ARG,DF,Manchester City,31,1988,24,18,1715,2,0,0,0,3,0,0.1,0,0.1,0.1,0.1,2.4,2.4,0.2,0.12,0.01,0.13,0.12,0.13,2019/2020
353,Alex Oxlade-Chamberlain,Alex-Oxlade-Chamberlain,ENG,MFFW,Liverpool,25,1993,30,17,1485,4,1,0,0,1,0,0.24,0.06,0.3,0.24,0.3,2.9,2.9,1.2,0.17,0.08,0.25,0.17,0.25,2019/2020
354,Mesut Özil,Mesut-Ozil,GER,MF,Arsenal,30,1988,18,18,1438,1,2,0,0,1,0,0.06,0.13,0.19,0.06,0.19,1.3,1.3,2.2,0.08,0.14,0.22,0.08,0.22,2019/2020
355,Emerson Palmieri,Emerson-Palmieri,ITA,DF,Chelsea,24,1994,15,13,1024,0,0,0,0,3,0,0,0,0,0,0,1,1,1.4,0.09,0.13,0.21,0.09,0.21,2019/2020
356,Sokratis Papastathopoulos,Sokratis-Papastathopoulos,GRE,DF,Arsenal,31,1988,19,19,1696,2,0,0,0,6,0,0.11,0,0.11,0.11,0.11,1,1,0.2,0.05,0.01,0.06,0.05,0.06,2019/2020
357,Troy Parrott,Troy-Parrott,IRL,MF,Tottenham,17,2002,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
358,Rui Patrício,Rui-Patricio,POR,GK,Wolves,31,1988,38,38,3420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
359,Pedro,Pedro,ESP,FW,Chelsea,32,1987,11,8,661,1,1,0,0,1,0,0.14,0.14,0.27,0.14,0.27,2.8,2.8,0.8,0.38,0.11,0.48,0.38,0.48,2019/2020
360,João Pedro,Joao-Pedro,BRA,FWMF,Watford,17,2001,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.19,0.6,0.79,0.19,0.79,2019/2020
361,Nicolas Pépé,Nicolas-Pepe,CIV,FW,Arsenal,24,1995,31,22,2010,5,6,1,1,4,0,0.22,0.27,0.49,0.18,0.45,4.5,3.8,4.4,0.2,0.2,0.4,0.17,0.37,2019/2020
362,Andreas Pereira,Andreas-Pereira,BRA,MFFW,Manchester Utd,23,1996,25,18,1484,1,3,0,0,3,0,0.06,0.18,0.24,0.06,0.24,2.3,2.3,3.8,0.14,0.23,0.37,0.14,0.37,2019/2020
363,Ricardo Pereira,Ricardo-Pereira,POR,DF,Leicester City,25,1993,28,28,2520,3,2,0,0,1,0,0.11,0.07,0.18,0.11,0.18,1.1,1,3.6,0.04,0.13,0.17,0.04,0.16,2019/2020
364,Roberto Pereyra,Roberto-Pereyra,ARG,FWMF,Watford,28,1991,28,17,1648,3,0,1,1,4,0,0.16,0,0.16,0.11,0.11,2.5,1.7,1.8,0.13,0.1,0.23,0.09,0.19,2019/2020
365,Ayoze Pérez,Ayoze-Perez,ESP,MFFW,Leicester City,26,1993,33,26,2004,8,4,1,1,0,0,0.36,0.18,0.54,0.31,0.49,5.7,4.9,4,0.26,0.18,0.43,0.22,0.4,2019/2020
366,Jordan Pickford,Jordan-Pickford,ENG,GK,Everton,25,1994,38,38,3420,0,0,0,0,2,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,2019/2020
367,Brandon Pierrick,Brandon-Pierrick,ENG,DFFW,Crystal Palace,17,2001,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.5,0.5,0,0.5,2019/2020
368,Erik Pieters,Erik-Pieters,NED,DFMF,Burnley,30,1988,24,21,1878,0,4,0,0,2,0,0,0.19,0.19,0,0.19,0.6,0.6,2.8,0.03,0.13,0.16,0.03,0.16,2019/2020
369,Daniel Podence,Daniel-Podence,POR,FWMF,Wolves,23,1995,9,3,289,1,0,0,0,0,0,0.31,0,0.31,0.31,0.31,1.6,1.6,0.4,0.49,0.13,0.62,0.49,0.62,2019/2020
370,Paul Pogba,Paul-Pogba,FRA,MF,Manchester Utd,26,1993,16,13,1204,1,3,0,1,1,0,0.07,0.22,0.3,0.07,0.3,2,1.2,2.7,0.15,0.2,0.35,0.09,0.29,2019/2020
371,Nick Pope,Nick-Pope,ENG,GK,Burnley,27,1992,38,38,3420,0,0,0,0,1,0,0,0,0,0,0,0,0,0.6,0,0.02,0.02,0,0.02,2019/2020
372,Dennis Praet,Dennis-Praet,BEL,MF,Leicester City,25,1994,27,12,1134,1,2,0,0,2,0,0.08,0.16,0.24,0.08,0.24,1.4,1.4,0.8,0.11,0.07,0.17,0.11,0.17,2019/2020
373,Sebastian Prödl,Sebastian-Prodl,AUT,DF,Watford,32,1987,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.08,0,0.08,0.08,0.08,2019/2020
374,Davy Pröpper,Davy-Propper,NED,MF,Brighton,27,1991,35,32,2829,1,2,0,0,4,0,0.03,0.06,0.1,0.03,0.1,1.3,1.3,2.1,0.04,0.07,0.11,0.04,0.11,2019/2020
375,Teemu Pukki,Teemu-Pukki,FIN,FW,Norwich City,29,1990,36,33,2886,11,3,2,2,3,0,0.34,0.09,0.44,0.28,0.37,12.1,10.6,3.1,0.38,0.1,0.47,0.33,0.42,2019/2020
376,Christian Pulisic,Christian-Pulisic,USA,FW,Chelsea,20,1998,25,19,1722,9,4,0,0,0,0,0.47,0.21,0.68,0.47,0.68,8.2,8.2,3.5,0.43,0.18,0.61,0.43,0.61,2019/2020
377,Ignacio Pussetto,Ignacio-Pussetto,ARG,FWDF,Watford,23,1995,7,0,74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
378,Domingos Quina,Domingos-Quina,POR,MF,Watford,19,1999,4,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0.08,0.08,0.08,2019/2020
379,Aaron Ramsdale,Aaron-Ramsdale,ENG,GK,Bournemouth,21,1998,37,37,3330,0,1,0,0,0,0,0,0.03,0.03,0,0.03,0,0,0.1,0,0,0,0,0,2019/2020
380,Darren Randolph,Darren-Randolph,IRL,GK,West Ham,32,1987,2,2,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
381,Marcus Rashford,Marcus-Rashford,ENG,FW,Manchester Utd,21,1997,31,31,2643,17,7,6,8,3,0,0.58,0.24,0.82,0.37,0.61,17.3,11.2,4.6,0.59,0.16,0.74,0.38,0.54,2019/2020
382,Nathan Redmond,Nathan-Redmond,ENG,MFFW,Southampton,25,1994,32,32,2762,4,4,0,0,2,0,0.13,0.13,0.26,0.13,0.26,5,5,3.2,0.16,0.11,0.27,0.16,0.27,2019/2020
383,Pepe Reina,Pepe-Reina,ESP,GK,Aston Villa,36,1982,12,12,1080,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
384,Declan Rice,Declan-Rice,ENG,MF,West Ham,20,1999,38,38,3420,1,3,0,0,6,0,0.03,0.08,0.11,0.03,0.11,1.1,1.1,1.5,0.03,0.04,0.07,0.03,0.07,2019/2020
385,Richarlison,Richarlison,BRA,FW,Everton,22,1997,36,36,3070,13,3,0,0,8,0,0.38,0.09,0.47,0.38,0.47,9.1,9.1,4.8,0.27,0.14,0.41,0.27,0.41,2019/2020
386,Diego Rico,Diego-Rico,ESP,DF,Bournemouth,26,1993,27,27,2332,0,4,0,0,6,0,0,0.15,0.15,0,0.15,0.3,0.3,2.9,0.01,0.11,0.12,0.01,0.12,2019/2020
387,Jaïro Riedewald,Jairo-Riedewald,NED,DFMF,Crystal Palace,22,1996,17,7,769,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.01,0.05,0.06,0.01,0.06,2019/2020
388,Matt Ritchie,Matt-Ritchie,SCO,DFMF,Newcastle Utd,29,1989,18,14,1315,2,1,0,1,4,0,0.14,0.07,0.21,0.14,0.21,1.6,0.8,2.3,0.11,0.16,0.26,0.05,0.21,2019/2020
389,Roberto,Roberto,ESP,GK,West Ham,33,1986,8,7,687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
390,Patrick Roberts,Patrick-Roberts,ENG,MFFW,Norwich City,22,1997,3,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
391,Andrew Robertson,Andrew-Robertson,SCO,DF,Liverpool,25,1994,36,34,3111,2,12,0,0,2,0,0.06,0.35,0.41,0.06,0.41,1.6,1.6,7.6,0.05,0.22,0.27,0.05,0.27,2019/2020
392,Callum Robinson,Callum-Robinson,IRL,FW,Sheffield Utd,24,1995,16,9,676,1,1,0,0,1,0,0.13,0.13,0.27,0.13,0.27,2.1,2.1,0.6,0.28,0.08,0.36,0.28,0.36,2019/2020
393,Jack Robinson,Jack-Robinson,ENG,DF,Sheffield Utd,25,1993,6,6,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.04,0.04,0,0.04,2019/2020
394,Rodri,Rodri,ESP,MF,Manchester City,23,1996,35,29,2486,3,2,0,0,8,0,0.11,0.07,0.18,0.11,0.18,1,1,1.5,0.04,0.06,0.09,0.04,0.09,2019/2020
395,Jay Rodriguez,Jay-Rodriguez,ENG,FW,Burnley,30,1989,36,20,2016,8,1,1,1,1,0,0.36,0.04,0.4,0.31,0.36,8,7.2,0.9,0.36,0.04,0.4,0.32,0.36,2019/2020
396,Jack Rodwell,Jack-Rodwell,ENG,MF,Sheffield Utd,28,1991,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
397,Marcos Rojo,Marcos-Rojo,ARG,DF,Manchester Utd,29,1990,3,1,122,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.08,0,0.08,0.08,0.08,2019/2020
398,Oriol Romeu,Oriol-Romeu,ESP,MF,Southampton,27,1991,30,20,1860,0,0,0,0,5,0,0,0,0,0,0,0.3,0.3,1.3,0.01,0.06,0.07,0.01,0.07,2019/2020
399,Danny Rose,Danny-Rose,ENG,DF,Tottenham,29,1990,12,10,893,0,0,0,0,5,0,0,0,0,0,0,0.2,0.2,0.7,0.02,0.07,0.09,0.02,0.09,2019/2020
400,Danny Rose,Danny-Rose,ENG,DF,Newcastle Utd,29,1990,11,10,863,0,0,0,0,2,0,0,0,0,0,0,0,0,0.2,0,0.02,0.02,0,0.02,2019/2020
401,Antonio Rüdiger,Antonio-Rudiger,GER,DF,Chelsea,26,1993,20,19,1710,2,0,0,0,3,0,0.11,0,0.11,0.11,0.11,0.6,0.6,0.3,0.03,0.02,0.05,0.03,0.05,2019/2020
402,Lukas Rupp,Lukas-Rupp,GER,FWMF,Norwich City,28,1991,12,8,695,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0.8,0.04,0.1,0.14,0.04,0.14,2019/2020
403,Mathew Ryan,Mathew-Ryan,AUS,GK,Brighton,27,1992,38,38,3420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
404,Allan Saint-Maximin,Allan-Saint-Maximin,FRA,MFFW,Newcastle Utd,22,1997,26,23,1863,3,4,0,0,0,0,0.14,0.19,0.34,0.14,0.34,3.2,3.2,3.5,0.16,0.17,0.33,0.16,0.33,2019/2020
405,Romain Saïss,Romain-Saiss,MAR,DF,Wolves,29,1990,33,31,2705,2,1,0,0,12,1,0.07,0.03,0.1,0.07,0.1,2.7,2.7,0.5,0.09,0.02,0.11,0.09,0.11,2019/2020
406,Bukayo Saka,Bukayo-Saka,ENG,DFFW,Arsenal,17,2001,26,19,1753,1,5,0,0,6,0,0.05,0.26,0.31,0.05,0.31,1.3,1.3,3.5,0.07,0.18,0.25,0.07,0.25,2019/2020
407,Mamadou Sakho,Mamadou-Sakho,FRA,DF,Crystal Palace,29,1990,14,11,931,0,0,0,0,1,1,0,0,0,0,0,0,0,0.1,0,0.01,0.01,0,0.01,2019/2020
408,Mohamed Salah,Mohamed-Salah,EGY,FW,Liverpool,27,1992,34,33,2876,19,10,3,3,1,0,0.59,0.31,0.91,0.5,0.81,19.4,17.2,7.3,0.61,0.23,0.84,0.54,0.76,2019/2020
409,Mbwana Samatta,Mbwana-Samatta,TAN,FW,Aston Villa,26,1992,14,11,943,1,0,0,0,1,0,0.1,0,0.1,0.1,0.1,1.9,1.9,0.2,0.18,0.02,0.21,0.18,0.21,2019/2020
410,Carlos Sánchez,Carlos-Sanchez,COL,MFDF,West Ham,33,1986,6,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
411,Davinson Sánchez,Davinson-Sanchez,COL,DF,Tottenham,23,1996,29,27,2431,0,0,0,0,6,0,0,0,0,0,0,0.6,0.6,0,0.02,0,0.02,0.02,0.02,2019/2020
412,Leroy Sané,Leroy-Sane,GER,FW,Manchester City,23,1996,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.76,0,0.76,0.76,0.76,2019/2020
413,Ismaila Sarr,Ismaila-Sarr,SEN,FWMF,Watford,21,1998,28,22,2028,5,4,0,0,1,0,0.22,0.18,0.4,0.22,0.4,5.7,5.7,3.2,0.26,0.14,0.39,0.26,0.39,2019/2020
414,Fabian Schär,Fabian-Schar,SUI,DFMF,Newcastle Utd,27,1991,22,18,1672,2,0,0,0,5,0,0.11,0,0.11,0.11,0.11,1.1,1.1,0.2,0.06,0.01,0.07,0.06,0.07,2019/2020
415,Ezequiel Schelotto,Ezequiel-Schelotto,ITA,DF,Brighton,30,1989,8,4,361,0,0,0,0,2,0,0,0,0,0,0,0.3,0.3,0,0.08,0,0.08,0.08,0.08,2019/2020
416,Jeffrey Schlupp,Jeffrey-Schlupp,GHA,MFDF,Crystal Palace,26,1992,17,11,1036,3,1,0,0,2,0,0.26,0.09,0.35,0.26,0.35,1.7,1.7,1.1,0.14,0.1,0.24,0.14,0.24,2019/2020
417,Kasper Schmeichel,Kasper-Schmeichel,DEN,GK,Leicester City,32,1986,38,38,3420,0,0,0,0,2,0,0,0,0,0,0,0,0,0.5,0,0.01,0.01,0,0.01,2019/2020
418,Morgan Schneiderlin,Morgan-Schneiderlin,FRA,MF,Everton,29,1989,15,12,1001,0,0,0,0,6,1,0,0,0,0,0,0.3,0.3,0.2,0.03,0.02,0.05,0.03,0.05,2019/2020
419,Ryan Sessegnon,Ryan-Sessegnon,ENG,DF,Tottenham,19,2000,6,4,342,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.03,0.01,0.04,0.03,0.04,2019/2020
420,Xherdan Shaqiri,Xherdan-Shaqiri,SUI,FW,Liverpool,27,1991,7,2,185,1,0,0,0,0,0,0.49,0,0.49,0.49,0.49,0.6,0.6,0.2,0.28,0.11,0.38,0.28,0.38,2019/2020
421,Billy Sharp,Billy-Sharp,ENG,FW,Sheffield Utd,33,1986,25,10,1051,3,2,0,0,1,1,0.26,0.17,0.43,0.26,0.43,2.7,2.7,2.7,0.23,0.23,0.46,0.23,0.46,2019/2020
422,Luke Shaw,Luke-Shaw,ENG,DF,Manchester Utd,24,1995,24,20,1733,0,0,0,0,7,0,0,0,0,0,0,0.5,0.5,1.5,0.02,0.08,0.1,0.02,0.1,2019/2020
423,Jonjo Shelvey,Jonjo-Shelvey,ENG,MF,Newcastle Utd,27,1992,26,25,2119,6,2,0,0,3,0,0.25,0.08,0.34,0.25,0.34,2.5,2.5,3.6,0.1,0.15,0.26,0.1,0.26,2019/2020
424,Djibril Sidibé,Djibril-Sidibe,FRA,DF,Everton,27,1992,25,18,1824,0,4,0,0,3,0,0,0.2,0.2,0,0.2,0.4,0.4,2,0.02,0.1,0.12,0.02,0.12,2019/2020
425,Gylfi Sigurðsson,Gylfi-Sigurdsson,ISL,MF,Everton,29,1989,35,28,2560,2,3,1,1,3,0,0.07,0.11,0.18,0.04,0.14,4.2,3.4,4.1,0.15,0.14,0.29,0.12,0.26,2019/2020
426,Bernardo Silva,Bernardo-Silva,POR,FWMF,Manchester City,24,1994,34,23,2030,6,7,0,0,5,0,0.27,0.31,0.58,0.27,0.58,6.7,6.7,5.4,0.3,0.24,0.54,0.3,0.54,2019/2020
427,David Silva,David-Silva,ESP,MF,Manchester City,33,1986,27,22,1826,6,10,0,0,0,0,0.3,0.49,0.79,0.3,0.79,6.3,6.3,5.4,0.31,0.26,0.58,0.31,0.58,2019/2020
428,Jack Simpson,Jack-Simpson,ENG,DF,Bournemouth,22,1996,4,1,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
429,Moussa Sissoko,Moussa-Sissoko,FRA,MF,Tottenham,29,1989,29,28,2452,2,1,0,0,8,0,0.07,0.04,0.11,0.07,0.11,2.4,2.4,1.1,0.09,0.04,0.13,0.09,0.13,2019/2020
430,Oliver Skipp,Oliver-Skipp,ENG,MFDF,Tottenham,18,2000,7,1,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
431,William Smallbone,William-Smallbone,IRL,MF,Southampton,19,2000,9,4,393,0,2,0,0,0,0,0,0.46,0.46,0,0.46,0.3,0.3,0.3,0.06,0.07,0.14,0.06,0.14,2019/2020
432,Adam Smith,Adam-Smith,ENG,DF,Bournemouth,28,1991,24,24,2055,0,1,0,0,7,0,0,0.04,0.04,0,0.04,0.6,0.6,1,0.02,0.04,0.07,0.02,0.07,2019/2020
433,Emile Smith-Rowe,Emile-Smith-Rowe,ENG,MF,Arsenal,19,2000,2,1,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
434,Robert Snodgrass,Robert-Snodgrass,SCO,MFFW,West Ham,31,1987,24,17,1509,5,5,0,0,4,0,0.3,0.3,0.6,0.3,0.6,2.8,2.8,2.8,0.17,0.17,0.33,0.17,0.33,2019/2020
435,Cédric Soares,Cedric-Soares,POR,DF,Arsenal,27,1991,5,3,249,1,0,0,0,0,0,0.36,0,0.36,0.36,0.36,0,0,0,0.01,0.02,0.02,0.01,0.02,2019/2020
436,Cédric Soares,Cedric-Soares,POR,DF,Southampton,27,1991,16,16,1306,0,1,0,0,1,0,0,0.07,0.07,0,0.07,0.6,0.6,1.2,0.04,0.09,0.13,0.04,0.13,2019/2020
437,Dominic Solanke,Dominic-Solanke,ENG,FWMF,Bournemouth,21,1997,32,17,1651,3,1,0,0,1,0,0.16,0.05,0.22,0.16,0.22,3.7,3.7,0.9,0.2,0.05,0.25,0.2,0.25,2019/2020
438,Tomáš Souček,Tomas-Soucek,CZE,MF,West Ham,24,1995,13,12,1040,3,0,0,0,0,0,0.26,0,0.26,0.26,0.26,2.2,2.2,0.5,0.19,0.04,0.23,0.19,0.23,2019/2020
439,Çağlar Söyüncü,Caglar-Soyuncu,TUR,DF,Leicester City,23,1996,34,34,3036,1,1,0,0,4,1,0.03,0.03,0.06,0.03,0.06,2.3,2.3,0.3,0.07,0.01,0.08,0.07,0.08,2019/2020
440,Dennis Srbeny,Dennis-Srbeny,GER,MFFW,Norwich City,25,1994,8,0,47,1,0,0,0,0,0,1.91,0,1.91,1.91,1.91,0.6,0.6,0,1.15,0,1.15,1.15,1.15,2019/2020
441,Jack Stacey,Jack-Stacey,ENG,DF,Bournemouth,23,1996,19,17,1549,0,2,0,0,2,0,0,0.12,0.12,0,0.12,0.3,0.3,2.2,0.02,0.13,0.14,0.02,0.14,2019/2020
442,Junior Stanislas,Junior-Stanislas,ENG,MFDF,Bournemouth,29,1989,15,7,712,3,0,1,1,1,0,0.38,0,0.38,0.25,0.25,1.6,0.8,0.8,0.2,0.1,0.3,0.1,0.2,2019/2020
443,Jed Steer,Jed-Steer,ENG,GK,Aston Villa,26,1992,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
444,Dale Stephens,Dale-Stephens,ENG,MF,Brighton,30,1989,33,28,2530,0,1,0,0,8,0,0,0.04,0.04,0,0.04,0.5,0.5,1.1,0.02,0.04,0.06,0.02,0.06,2019/2020
445,Jack Stephens,Jack-Stephens,ENG,DF,Southampton,25,1994,28,27,2451,1,3,0,0,4,1,0.04,0.11,0.15,0.04,0.15,0.7,0.7,1.3,0.03,0.05,0.07,0.03,0.07,2019/2020
446,Raheem Sterling,Raheem-Sterling,ENG,FW,Manchester City,24,1994,33,30,2651,20,1,0,2,5,0,0.68,0.03,0.71,0.68,0.71,17.1,15.1,7,0.58,0.24,0.82,0.51,0.75,2019/2020
447,Enda Stevens,Enda-Stevens,IRL,DF,Sheffield Utd,29,1990,38,38,3345,2,4,0,0,7,0,0.05,0.11,0.16,0.05,0.16,1.2,1.2,4.7,0.03,0.13,0.16,0.03,0.16,2019/2020
448,Marco Stiepermann,Marco-Stiepermann,GER,MF,Norwich City,28,1991,24,14,1180,0,0,0,0,6,0,0,0,0,0,0,1.5,1.5,0.5,0.12,0.04,0.16,0.12,0.16,2019/2020
449,John Stones,John-Stones,ENG,DF,Manchester City,25,1994,16,12,1122,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.1,0.05,0.01,0.06,0.05,0.06,2019/2020
450,Isaac Success,Isaac-Success,NGA,FWMF,Watford,23,1996,5,0,70,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.09,0.1,0.19,0.09,0.19,2019/2020
451,Ki Sung-yueng,Ki-Sung-yueng,KOR,MF,Newcastle Utd,30,1989,3,1,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.05,0.05,0,0.05,2019/2020
452,Andrew Surman,Andrew-Surman,ENG,MF,Bournemouth,32,1986,5,2,235,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02,2019/2020
453,Sam Surridge,Sam-Surridge,ENG,FW,Bournemouth,21,1998,4,0,27,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,1.35,0,1.35,1.35,1.35,2019/2020
454,Japhet Tanganga,Japhet-Tanganga,ENG,DF,Tottenham,20,1999,6,6,525,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.01,0,0.01,0.01,0.01,2019/2020
455,Matt Targett,Matt-Targett,ENG,DF,Aston Villa,23,1995,28,27,2291,1,2,0,0,4,0,0.04,0.08,0.12,0.04,0.12,0.5,0.5,2.7,0.02,0.11,0.13,0.02,0.13,2019/2020
456,James Tarkowski,James-Tarkowski,ENG,DF,Burnley,26,1992,38,38,3420,2,2,0,0,10,0,0.05,0.05,0.11,0.05,0.11,2.4,2.4,2.2,0.06,0.06,0.12,0.06,0.12,2019/2020
457,Charlie Taylor,Charlie-Taylor,ENG,DF,Burnley,25,1993,24,22,1945,0,1,0,0,3,0,0,0.05,0.05,0,0.05,0,0,1.3,0,0.06,0.06,0,0.06,2019/2020
458,Neil Taylor,Neil-Taylor,WAL,DF,Aston Villa,30,1989,14,11,1091,0,0,0,0,2,0,0,0,0,0,0,0.3,0.3,0.2,0.02,0.02,0.04,0.02,0.04,2019/2020
459,Nathan Tella,Nathan-Tella,ENG,FW,Southampton,20,1999,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,1.62,0,1.62,1.62,1.62,2019/2020
460,Alexander Tettey,Alexander-Tettey,NOR,MFDF,Norwich City,33,1986,30,28,2338,1,1,0,0,5,0,0.04,0.04,0.08,0.04,0.08,0.8,0.8,0.8,0.03,0.03,0.06,0.03,0.06,2019/2020
461,Jordan Thomas,Jordan-Thomas,ENG,FW,Norwich City,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
462,Luke Thomas,Luke-Thomas,ENG,DF,Leicester City,,,3,3,267,0,1,0,0,0,0,0,0.34,0.34,0,0.34,0,0,0.9,0,0.32,0.32,0,0.32,2019/2020
463,Max Thompson,Max-Thompson,ENG,FW,Burnley,17,2002,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
464,Youri Tielemans,Youri-Tielemans,BEL,MF,Leicester City,22,1997,37,32,2828,3,6,0,0,2,0,0.1,0.19,0.29,0.1,0.29,3.3,3.3,5.4,0.1,0.17,0.28,0.1,0.28,2019/2020
465,Kieran Tierney,Kieran-Tierney,SCO,DF,Arsenal,22,1997,15,12,989,1,1,0,0,2,0,0.09,0.09,0.18,0.09,0.18,0.3,0.3,1.1,0.02,0.1,0.13,0.02,0.13,2019/2020
