first_name,second_name,team,element_type,selected_by_percent,now_cost,minutes,transfers_in,value_season,total_points,position
Che,Adams,Southampton,4,6.7,61,1346,1084819,11.5,70,Forward
Yan,Valery,Southampton,2,0.1,47,8,1664,0.2,1,Defender
William,Smallbone,Southampton,3,0.2,44,111,24074,0.7,3,Midfielder
Jake,Vokins,Southampton,2,1.4,39,0,48533,0,0,Defender
Michael,Obafemi,Southampton,4,0.9,46,13,61479,0.2,1,Forward
Moussa,Djenepo,Southampton,3,0.1,54,694,17334,5.6,30,Midfielder
Mohammed,Salisu,Southampton,2,0.1,43,0,1418,0,0,Defender
Fraser,Forster,Southampton,1,4.4,40,90,356158,1.5,6,Goalkeeper
Nathan,Tella,Southampton,3,0.4,44,155,52095,1.1,5,Midfielder
Ibrahima,Diallo,Southampton,3,0,45,204,3499,2.4,11,Midfielder
Daniel,N'Lundulu,Southampton,4,0.2,45,30,22395,1.3,6,Forward
Kayne,Ramsay,Southampton,2,0.1,40,0,5235,0,0,Defender
Kgaogelo,Chauke,Southampton,3,0,45,0,12,0,0,Midfielder
Harry,Lewis,Southampton,1,0,40,0,215,0,0,Goalkeeper
Hugo,Lloris,Spurs,1,7.5,56,1440,492145,13,73,Goalkeeper
Danny,Rose,Spurs,2,0.2,47,0,3525,0,0,Defender
Moussa,Sissoko,Spurs,3,0.5,48,1056,39894,6.2,30,Midfielder
Toby,Alderweireld,Spurs,2,2.1,54,980,113817,8.7,47,Defender
Erik,Lamela,Spurs,3,0.1,57,193,10225,1.6,9,Midfielder
Harry,Kane,Spurs,4,44.8,110,1429,3643225,11.4,125,Forward
Serge,Aurier,Spurs,2,2.1,52,693,236286,6.9,36,Defender
Heung-Min,Son,Spurs,3,63.5,98,1346,5736134,13.5,132,Midfielder
Eric,Dier,Spurs,2,6,51,1350,542294,10,51,Defender
Lucas,Rodrigues Moura da Silva,Spurs,3,1.1,67,456,79427,3.4,23,Midfielder
Paulo,Gazzaniga,Spurs,1,0.2,43,0,4586,0,0,Goalkeeper
Bamidele,Alli,Spurs,3,0.5,74,74,20772,0.5,4,Midfielder
Ben,Davies,Spurs,2,1,46,677,81702,7,32,Defender
Pierre-Emile,Højbjerg,Spurs,3,0.9,49,1440,103671,7.8,38,Midfielder
Harry,Winks,Spurs,3,0.1,52,447,4405,1.5,8,Midfielder
Davinson,Sánchez,Spurs,2,0.7,53,450,28036,1.1,6,Defender
Ryan,Sessegnon,Spurs,2,0.1,47,0,1042,0,0,Defender
Steven,Bergwijn,Spurs,3,0.4,70,678,23060,3.6,25,Midfielder
Gedson,Carvalho Fernandes,Spurs,3,0.1,47,0,2832,0,0,Midfielder
Japhet,Tanganga,Spurs,2,0,49,0,1138,0,0,Defender
Giovani,Lo Celso,Spurs,3,0.4,69,433,13248,2.9,20,Midfielder
Oliver,Skipp,Spurs,3,0,44,0,1799,0,0,Midfielder
Tanguy,Ndombele,Spurs,3,0.5,59,801,56333,7.8,46,Midfielder
Juan,Foyth,Spurs,2,0.1,43,0,1517,0,0,Defender
Matt,Doherty,Spurs,2,4.8,57,705,201002,5.1,29,Defender
Joe,Hart,Spurs,1,0.6,43,0,10585,0,0,Goalkeeper
Cameron,Carter-Vickers,Spurs,2,0.3,39,0,18153,0,0,Defender
Sergio,Reguilón,Spurs,2,6.3,57,879,791334,7.5,43,Defender
Gareth,Bale,Spurs,3,0.3,93,160,157555,1.5,14,Midfielder
Carlos Vinicius,Alves Morais,Spurs,4,0,69,15,5527,0.3,2,Forward
Joe,Rodon,Spurs,2,0,50,101,2975,1.8,9,Defender
David,Button,West Brom,1,4.3,40,0,165458,0,0,Goalkeeper
Callum,Robinson,West Brom,4,0.4,54,841,139000,6.9,37,Forward
Kieran,Gibbs,West Brom,2,0.2,43,450,8659,0.5,2,Defender
Hal,Robson-Kanu,West Brom,4,0.1,52,137,8015,1,5,Forward
Jake,Livermore,West Brom,3,0.1,47,771,4736,2.6,12,Midfielder
Kamil,Grosicki,West Brom,3,0,53,10,642,0.2,1,Midfielder
Matt,Phillips,West Brom,3,0.1,51,641,3905,4.5,23,Midfielder
Kyle,Bartley,West Brom,2,0.1,44,744,14817,4.3,19,Defender
Romaine,Sawyers,West Brom,3,0,48,1139,2087,5.2,25,Midfielder
Ahmed El-Sayed,Hegazy,West Brom,2,0.1,41,90,12953,1.5,6,Defender
Charlie,Austin,West Brom,4,0.2,51,135,16048,1,5,Forward
Kenneth,Zohore,West Brom,4,0,48,0,2861,0,0,Forward
Sam,Johnstone,West Brom,1,2.2,45,1530,254361,12,54,Goalkeeper
Conor,Townsend,West Brom,2,0.1,44,704,12132,5.5,24,Defender
Oluwasemilogo Adesewo Ibidapo,Ajayi,West Brom,2,0.2,48,1440,17228,6.5,31,Defender
Jonathan,Leko,West Brom,3,0,45,0,1384,0,0,Midfielder
Kyle,Edwards,West Brom,3,0,47,114,807,1.1,5,Midfielder
Darnell,Furlong,West Brom,2,0.3,45,1418,40464,8.4,38,Defender
Sam,Field,West Brom,3,0,48,61,748,0.6,3,Midfielder
Dara,O'Shea,West Brom,2,0.2,43,1000,8983,2.6,11,Defender
Rekeem,Harper,West Brom,3,0.6,43,30,55772,0.5,2,Midfielder
Grady,Diangana,West Brom,3,0.2,51,1068,44288,6.5,33,Midfielder
Matheus,Pereira,West Brom,3,0.6,56,921,216814,6.1,34,Midfielder
Cedric,Kipre,West Brom,2,0,43,0,958,0,0,Defender
Branislav,Ivanovic,West Brom,2,0.1,45,741,18303,4,18,Defender
Conor,Gallagher,West Brom,3,0.1,55,1159,17208,6.5,36,Midfielder
Filip,Krovinovic,West Brom,3,0,49,541,1468,3.5,17,Midfielder
Karlan,Grant,West Brom,4,0,58,857,11580,5,29,Forward
Lee,Peltier,West Brom,2,0.1,40,93,6852,0,0,Defender
Cheikh,Diaby,West Brom,4,0,45,0,802,0,0,Forward
Mark,Noble,West Ham,3,0.4,46,223,11639,2,9,Midfielder
Robert,Snodgrass,West Ham,3,0.1,57,4,1600,0.5,3,Midfielder
David,Martin,West Ham,1,7.2,40,0,229809,0,0,Goalkeeper
Darren,Randolph,West Ham,1,0.2,44,90,5357,1.4,6,Goalkeeper
Lukasz,Fabianski,West Ham,1,3.9,51,1440,401062,13.9,71,Goalkeeper
Angelo,Ogbonna,West Ham,2,2.4,50,1502,245051,13.2,66,Defender
Roberto,Jimenez Gago,West Ham,1,0,45,0,400,0,0,Goalkeeper
Jack,Wilshere,West Ham,3,0.1,49,0,1161,0,0,Midfielder
Aaron,Cresswell,West Ham,2,12.9,54,1530,1412096,14.3,77,Defender
Andriy,Yarmolenko,West Ham,3,0.1,55,240,3946,1.6,9,Midfielder
Michail,Antonio,West Ham,4,1.9,62,570,191639,4.8,30,Forward
Ryan,Fredericks,West Ham,2,0.2,42,319,16729,2.6,11,Defender
Manuel,Lanzini,West Ham,3,0.1,64,227,10882,2.5,16,Midfielder
Felipe Anderson,Pereira Gomes,West Ham,3,0.1,61,2,4669,0.3,2,Midfielder
Sébastien,Haller,West Ham,4,0.4,61,932,60361,6.7,41,Forward
Arthur,Masuaku,West Ham,2,0.6,44,850,220617,8.4,37,Defender
Fabián,Balbuena,West Ham,2,1.8,44,1080,283852,9.1,40,Defender
Jordan,Hugill,West Ham,4,0,55,0,422,0,0,Forward
Jarrod,Bowen,West Ham,3,3.2,63,1291,633073,10.8,68,Midfielder
Albian,Ajeti,West Ham,4,0,55,0,643,0,0,Forward
Declan,Rice,West Ham,3,2.5,48,1530,151821,8.8,42,Midfielder
Tomas,Soucek,West Ham,3,11.7,52,1530,1169372,14.8,77,Midfielder
Pablo,Fornals,West Ham,3,0.8,61,1262,261376,10.2,62,Midfielder
Issa,Diop,West Ham,2,0.5,43,297,14126,0.9,4,Defender
Ben,Johnson,West Ham,2,3.3,39,141,235083,2.6,10,Defender
Vladimir,Coufal,West Ham,2,4.1,47,1164,507857,11.1,52,Defender
Craig,Dawson,West Ham,2,0,45,180,3597,2.7,12,Defender
Saïd,Benrahma,West Ham,3,0.2,60,392,48137,3.2,19,Midfielder
John,Ruddy,Wolves,1,0.2,43,0,4164,0,0,Goalkeeper
João Filipe Iria,Santos Moutinho,Wolves,3,0.9,52,1068,39220,4.6,24,Midfielder
Rui Pedro,dos Santos Patrício,Wolves,1,5.4,54,1530,344167,10,54,Goalkeeper
Ryan,Bennett,Wolves,2,0.1,44,0,3892,0,0,Defender
Willy,Boly,Wolves,2,1.5,54,1080,138466,6.7,36,Defender
Conor,Coady,Wolves,2,5.8,49,1440,371525,8.2,40,Defender
Raúl,Jiménez,Wolves,4,5.1,82,824,1157636,5.2,43,Forward
Romain,Saïss,Wolves,2,11.2,51,1057,2023468,12.2,62,Defender
Jonathan,Castro Otto,Wolves,2,0,54,0,722,0,0,Defender
Léo,Bonatini,Wolves,4,0.1,48,0,8645,0,0,Forward
Leander,Dendoncker,Wolves,3,0.6,47,946,56706,6.6,31,Midfielder
Adama,Traoré,Wolves,3,5.5,61,1029,287623,4.6,28,Midfielder
Rúben Diogo,da Silva Neves,Wolves,3,1.3,52,1149,55301,7.3,38,Midfielder
Oskar,Buur,Wolves,2,2.6,39,22,237804,0.3,1,Defender
Daniel,Castelo Podence,Wolves,3,4,55,1117,1013036,10.4,57,Midfielder
Max,Kilman,Wolves,2,10.1,41,758,1375175,9,37,Defender
Rúben Gonçalo,Silva Nascimento Vinagre,Wolves,2,0.8,41,172,56782,0.2,1,Defender
Matija,Sarkic,Wolves,1,0.1,44,0,960,0,0,Goalkeeper
Morgan,Gibbs-White,Wolves,3,0,49,0,366,0,0,Midfielder
Pedro,Lomba Neto,Wolves,3,16,60,1351,1618261,13.3,80,Midfielder
Bruno André,Cavaco Jordao,Wolves,3,0.2,43,0,15769,0,0,Midfielder
Leonardo,Campana,Wolves,4,0.3,48,0,20997,0,0,Forward
Fabio,Silva,Wolves,4,1.2,52,521,100769,4,21,Forward
Fernando,Marçal,Wolves,2,0.1,48,568,27486,3.3,16,Defender
Vitor,Ferreira,Wolves,3,0,48,170,1830,2.7,13,Midfielder
Ki-Jana,Hoever,Wolves,2,0,44,119,4136,0.9,4,Defender
Nélson,Cabral Semedo,Wolves,2,2.2,54,1229,386328,6.5,35,Defender
Meritan,Shabani,Wolves,3,0,45,0,3627,0,0,Midfielder
Rayan,Ait Nouri,Wolves,2,0.2,50,528,42585,4.8,24,Defender
Owen,Otasowie,Wolves,3,0,45,114,2965,1.3,6,Midfielder
Theo,Corbeanu,Wolves,3,0,45,0,143,0,0,Midfielder
Taylor,Perry,Wolves,3,0,45,0,356,0,0,Midfielder
Luke,Cundle,Wolves,3,0,45,0,328,0,0,Midfielder
Lewis,Richards,Wolves,2,0,40,0,693,0,0,Defender
Christian,Marques,Wolves,2,0,40,0,774,0,0,Defender
Andreas,Söndergaard,Wolves,1,0.2,40,0,4128,0,0,Goalkeeper
