Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK,G+A-PK,xG,npxG,xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA,Season
90,Conor Coady,ENG,DF,Wolves,27,1993,14,14,1260,0,0,0,0,3,0,0,0,0,0,0,0,0,0.1,0,0.01,0.01,0,0.01,2020/2021
91,Séamus Coleman,IRL,DF,Everton,32,1988,8,6,480,0,1,0,0,0,0,0,0.19,0.19,0,0.19,0.1,0.1,0.5,0.01,0.1,0.11,0.01,0.11,2020/2021
92,Aaron Connolly,IRL,FW,Brighton,20,2000,10,6,536,1,1,0,0,0,0,0.17,0.17,0.34,0.17,0.34,1.8,1.8,0.2,0.31,0.03,0.33,0.31,0.33,2020/2021
93,Liam Cooper,SCO,DF,Leeds United,29,1991,11,11,971,1,0,0,0,3,0,0.09,0,0.09,0.09,0.09,0.4,0.4,0,0.04,0,0.04,0.04,0.04,2020/2021
94,Hélder Costa,POR,MF,Leeds United,26,1994,10,8,669,2,2,0,0,0,0,0.27,0.27,0.54,0.27,0.54,1,1,0.8,0.13,0.11,0.24,0.13,0.24,2020/2021
95,Vladimír Coufal,CZE,DF,West Ham,28,1992,12,12,1074,0,2,0,0,2,0,0,0.17,0.17,0,0.17,0.3,0.3,1.6,0.02,0.14,0.16,0.02,0.16,2020/2021
96,Aaron Cresswell,ENG,DF,West Ham,31,1989,15,15,1350,0,4,0,0,0,0,0,0.27,0.27,0,0.27,0.3,0.3,2.2,0.02,0.15,0.17,0.02,0.17,2020/2021
97,Stuart Dallas,NIR,DFMF,Leeds United,29,1991,15,15,1340,3,0,0,0,3,0,0.2,0,0.2,0.2,0.2,1.8,1.8,0.6,0.12,0.04,0.16,0.12,0.16,2020/2021
98,Scott Dann,ENG,DF,Crystal Palace,33,1987,8,8,720,1,0,0,0,1,0,0.12,0,0.12,0.12,0.12,0.3,0.3,0,0.04,0,0.04,0.04,0.04,2020/2021
99,Karl Darlow,ENG,GK,Newcastle Utd,30,1990,14,14,1260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
100,Ben Davies,WAL,DF,Tottenham,27,1993,11,6,592,0,1,0,0,0,0,0,0.15,0.15,0,0.15,0.1,0.1,0.2,0.02,0.04,0.05,0.02,0.05,2020/2021
101,Tom Davies,ENG,MFDF,Everton,22,1998,8,4,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.13,0.13,0,0.13,2020/2021
102,Keinan Davis,ENG,FW,Aston Villa,22,1998,3,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0.05,2020/2021
103,Leif Davis,ENG,DF,Leeds United,20,2000,2,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
104,Kevin De Bruyne,BEL,MF,Manchester City,29,1991,13,12,1103,2,7,2,3,1,0,0.16,0.57,0.73,0,0.57,6.2,3.9,5.3,0.5,0.43,0.94,0.32,0.75,2020/2021
105,Liam Delap,ENG,FW,Manchester City,17,2003,1,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.06,0.06,0.06,2020/2021
106,Fabian Delph,ENG,MFDF,Everton,31,1989,5,2,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02,2020/2021
107,Leander Dendoncker,BEL,MF,Wolves,25,1995,12,11,947,0,0,0,0,2,0,0,0,0,0,0,2,2,0.4,0.19,0.04,0.22,0.19,0.22,2020/2021
108,Ibrahima Diallo,FRA,MF,Southampton,21,1999,7,1,118,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0,0.03,2020/2021
109,Grady Diangana,ENG,MFFW,West Brom,22,1998,13,12,952,1,0,0,0,0,0,0.09,0,0.09,0.09,0.09,0.5,0.5,0.1,0.05,0.01,0.06,0.05,0.06,2020/2021
110,Raphael Dias Belloli,BRA,MF,Leeds United,24,1996,10,7,665,1,2,0,0,2,0,0.14,0.27,0.41,0.14,0.41,2.1,2.1,2.1,0.29,0.28,0.57,0.29,0.57,2020/2021
111,Rúben Dias,POR,DF,Manchester City,23,1997,12,12,1059,0,0,0,0,2,0,0,0,0,0,0,0.8,0.8,0,0.07,0,0.07,0.07,0.07,2020/2021
112,Eric Dier,ENG,DF,Tottenham,26,1994,14,14,1260,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0,0.03,0,0.03,0.03,0.03,2020/2021
113,Lucas Digne,FRA,DF,Everton,27,1993,8,8,701,0,4,0,0,0,1,0,0.51,0.51,0,0.51,0.2,0.2,1.7,0.02,0.22,0.24,0.02,0.24,2020/2021
114,Virgil van Dijk,NED,DF,Liverpool,29,1991,5,5,370,1,0,0,0,1,0,0.24,0,0.24,0.24,0.24,0.3,0.3,0,0.08,0,0.08,0.08,0.08,2020/2021
115,Issa Diop,FRA,DF,West Ham,23,1997,4,3,298,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
116,Moussa Djenepo,MLI,MF,Southampton,22,1998,11,8,588,1,0,0,0,2,0,0.15,0,0.15,0.15,0.15,0.4,0.4,0.5,0.06,0.08,0.14,0.06,0.14,2020/2021
117,Matt Doherty,IRL,DF,Tottenham,28,1992,7,7,615,0,1,0,0,1,0,0,0.15,0.15,0,0.15,0.3,0.3,0.4,0.05,0.06,0.11,0.05,0.11,2020/2021
118,Gabriel Dos Santos,BRA,DF,Arsenal,23,1997,12,12,1051,2,0,0,0,3,1,0.17,0,0.17,0.17,0.17,0.7,0.7,0,0.06,0,0.07,0.06,0.07,2020/2021
119,Abdoulaye Doucouré,FRA,MF,Everton,27,1993,15,15,1268,1,2,0,0,4,0,0.07,0.14,0.21,0.07,0.21,1.4,1.4,1.4,0.1,0.1,0.19,0.1,0.19,2020/2021
120,Paul Dummett,WAL,DF,Newcastle Utd,29,1991,1,1,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
121,Lewis Dunk,ENG,DF,Brighton,29,1991,12,12,1079,1,0,0,0,3,1,0.08,0,0.08,0.08,0.08,1.5,1.5,0.1,0.12,0.01,0.13,0.12,0.13,2020/2021
122,Jimmy Dunne,IRL,DF,Burnley,23,1997,2,2,180,1,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.3,0.3,0.1,0.13,0.05,0.19,0.13,0.19,2020/2021
123,Ederson,BRA,GK,Manchester City,27,1993,14,14,1260,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
124,Kyle Edwards,ENG,MFFW,West Brom,22,1998,5,1,118,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.11,0,0.11,0.11,0.11,2020/2021
125,John Egan,IRL,DF,Sheffield Utd,28,1992,14,14,1181,0,0,0,0,4,1,0,0,0,0,0,0.3,0.3,0.1,0.02,0.01,0.03,0.02,0.03,2020/2021
126,Ahmed Elmohamady,EGY,DF,Aston Villa,33,1987,5,1,133,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.09,0.18,0.27,0.09,0.27,2020/2021
127,Mohamed Elneny,EGY,MF,Arsenal,28,1992,9,9,783,0,0,0,0,2,0,0,0,0,0,0,0.4,0.4,0.1,0.04,0.01,0.05,0.04,0.05,2020/2021
128,Jonny Evans,NIR,DF,Leicester City,32,1988,12,12,1069,0,1,0,0,5,0,0,0.08,0.08,0,0.08,0.1,0.1,0.1,0.01,0.01,0.02,0.01,0.02,2020/2021
129,Eberechi Eze,ENG,MF,Crystal Palace,22,1998,14,10,912,1,2,0,0,1,0,0.1,0.2,0.3,0.1,0.3,1,1,0.7,0.1,0.07,0.17,0.1,0.17,2020/2021
130,Łukasz Fabiański,POL,GK,West Ham,35,1985,15,15,1350,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
131,Fabinho,BRA,DFMF,Liverpool,27,1993,13,12,1112,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.4,0.01,0.03,0.04,0.01,0.04,2020/2021
132,Bruno Fernandes,POR,MF,Manchester Utd,26,1994,14,13,1123,10,6,4,5,3,0,0.8,0.48,1.28,0.48,0.96,6.9,3.1,5.4,0.55,0.43,0.98,0.25,0.68,2020/2021
133,Federico Fernández,ARG,DF,Newcastle Utd,31,1989,13,13,1125,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.01,0,0.01,0.01,0.01,2020/2021
134,Fernandinho,BRA,MF,Manchester City,35,1985,7,3,325,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0,0.14,0,0.14,0.14,0.14,2020/2021
135,Sam Field,ENG,MF,West Brom,22,1998,3,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
136,Roberto Firmino,BRA,FWMF,Liverpool,29,1991,15,15,1212,5,3,0,0,1,0,0.37,0.22,0.59,0.37,0.59,5.5,5.5,2.2,0.41,0.16,0.57,0.41,0.57,2020/2021
137,John Fleck,SCO,MF,Sheffield Utd,29,1991,9,8,662,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.5,0.06,0.07,0.12,0.06,0.12,2020/2021
